No,レア,カード名,card_number,買取金額,更新日,弾,ラッシュ販売価格,ラッシュ在庫状況,画像URL,期待利益
052/049,,ゼニガメ,052/049,12000,1/10,,7980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f353272757368705356473035323034392e6a7067003136300000660023666666666666.jpg,4020
098/SV-P,,名探偵ピカチュウ,098/SV-P,30000,1/10,,22800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303233313030365f3365663463312e6a70670031363000534f4c44204f555400660023666666666666.jpg,7200
192/SV-P,,ニャース,192/SV-P,16000,1/18,,11800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303234313131355f6336663963342e6a7067003136300000660023666666666666.jpg,4200
218/SV-P,,ピカチュウ,218/SV-P,12000,1/10,,6280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d657373616765496d6167655f313732323135373930373435355f302e6a70670031363000534f4c44204f555400660023666666666666.jpg,5720
288/SV-P,,ビクティニ(争奪戦プロモ),288/SV-P,110000,1/18,,84800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f53565032353036313431372e6a7067003136300000660023666666666666.jpg,25200
001/030,,ピカチュウex,001/030,68000,1/18,,47800,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f31727573687057435332333030313033302e6a7067003136300000660023666666666666.jpg,20200
062/SV-P,,イーブイ,062/SV-P,14000,1/10,,11800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036325f6569657675695f43522e6a7067003136300000660023666666666666.jpg,2200
063/SV-P,,シャワーズ,063/SV-P,14000,1/10,,9980,在庫あり (15枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036335f73686f776572735f43522e6a7067003136300000660023666666666666.jpg,4020
064/SV-P,,サンダース,064/SV-P,14000,1/10,,9980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036345f7468756e646572735f43522e6a7067003136300000660023666666666666.jpg,4020
065/SV-P,,ブースター,065/SV-P,14000,1/10,,9980,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036355f626f6f737465725f43522e6a7067003136300000660023666666666666.jpg,4020
066/SV-P,,エーフィ,066/SV-P,14000,1/10,,10800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036365f65696669655f43522e6a7067003136300000660023666666666666.jpg,3200
067/SV-P,,ブラッキー,067/SV-P,23000,1/10,,23800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036375f626c61636b795f43522e6a7067003136300000660023666666666666.jpg,-800
068/SV-P,,リーフィア,068/SV-P,14000,1/10,,9980,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036385f6c65616669615f43522e6a7067003136300000660023666666666666.jpg,4020
069/SV-P,,グレイシア,069/SV-P,14000,1/10,,9480,在庫あり (17枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036395f676c616369615f43522e6a7067003136300000660023666666666666.jpg,4520
070/SV-P,,ニンフィア,070/SV-P,14000,1/10,,8980,在庫あり (18枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3037305f6e796d706869615f43522e6a7067003136300000660023666666666666.jpg,5020
003/032,,リザードン(クラシック版),003/032,42000,1/17,,35800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f435250434c4c2d3030332e6a7067003136300000660023666666666666.jpg,6200
003/032,,フシギバナ(クラシック版),003/032,7000,1/17,,3480,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f435250434c462d3030332e6a7067003136300000660023666666666666.jpg,3520
003/032,,カメックス(クラシック版),003/032,11000,1/10,,4280,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f435250434c4b2d3030332e6a7067003136300000660023666666666666.jpg,6720
008/032,,ピカチュウ(クラシック版),008/032,20000,1/17,,9480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f435250434c4c2d3030382e6a70670031363000534f4c44204f555400660023666666666666.jpg,10520
259/172,UR,オリジンパルキアVSTAR,259/172,16000,1/17,,12800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f332e6a7067003136300000660023666666666666.jpg,3200
260/172,UR,オリジンディアルガVSTAR,260/172,15000,1/17,,9480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f322e6a70670031363000534f4c44204f555400660023666666666666.jpg,5520
261/172,UR,ギラティナVSTAR,261/172,26000,1/17,,27800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f312e6a70670031363000534f4c44204f555400660023666666666666.jpg,-1800
262/172,UR,アルセウスVSTAR,262/172,18000,1/17,,14800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f302e6a7067003136300000660023666666666666.jpg,3200
183/172,AR,ミュウ,183/172,8500,1/17,,4780,在庫あり (18枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f37392e6a7067003136300000660023666666666666.jpg,3720
205/172,AR,ピカチュウ,205/172,42000,1/17,,37800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f35372e6a70670031363000534f4c44204f555400660023666666666666.jpg,4200
210/172,SAR,リーフィアVSTAR,210/172,10000,1/17,,5480,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f35322e6a7067003136300000660023666666666666.jpg,4520
211/172,SAR,リザードンV,211/172,10000,1/17,,5780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f35312e6a70670031363000534f4c44204f555400660023666666666666.jpg,4220
212/172,SAR,リザードンVSTAR,212/172,16000,1/17,,12800,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f35302e6a7067003136300000660023666666666666.jpg,3200
217/172,SAR,グレイシアVSTAR,217/172,10000,1/17,,5280,在庫あり (133枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f34352e6a7067003136300000660023666666666666.jpg,4720
221/172,SAR,ミュウツーVSTAR,221/172,14500,1/17,,13800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f34312e6a7067003136300000660023666666666666.jpg,700
236/172,SAR,カイ,236/172,8000,1/17,,5780,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f32372e6a7067003136300000660023666666666666.jpg,2220
239/172,SAR,シロナの覇気,239/172,9500,1/17,,4780,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f32342e6a7067003136300000660023666666666666.jpg,4720
246/172,SR,カミツレのきらめき,246/172,7500,1/17,,4780,在庫あり (13枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f31372e6a7067003136300000660023666666666666.jpg,2720
108/098,SR,レジドラゴV（SA）,108/098,5000,1/17,,2780,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7331325f31372e6a7067003136300000660023666666666666.jpg,2220
110/098,SR,ルギアV(SA),110/098,96000,1/17,,99800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7331325f31352e6a70670031363000534f4c44204f555400660023666666666666.jpg,-3800
081/068,SR,セレナ,081/068,18000,1/17,,10800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f33353330322e6a7067003136300000660023666666666666.jpg,7200
084/068,CSR,ジャローダV(SA),084/068,7500,1/17,,5280,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f33353330352e6a7067003136300000660023666666666666.jpg,2220
106/100,SR,プテラV(SA),106/100,23000,1/17,,14800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5331312d3130362e6a70670031363000534f4c44204f555400660023666666666666.jpg,8200
111/100,SR,ギラティナV(SA),111/100,180000,1/17,,178000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5331312d3131312e6a7067003136300000660023666666666666.jpg,2000
074/071,SR,ミュウツーV(SA),074/071,18000,1/17,,8980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36393732323833332e6a70670031363000534f4c44204f555400660023666666666666.jpg,9020
073/071,CHR,ピカチュウ,073/071,10000,1/17,,5980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130613037332d3037312e6a7067003136300000660023666666666666.jpg,4020
074/071,CHR,ゲンガー,074/071,7000,1/17,,4780,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130613037342d3037312e6a7067003136300000660023666666666666.jpg,2220
073/067,SR,カイリキーV(SA),073/067,12000,1/17,,11800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130443037333036372e6a7067003136300000660023666666666666.jpg,200
075/067,SR,オリジンディアルガV(SA),075/067,20000,1/17,,8980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130443037353036372e6a70670031363000534f4c44204f555400660023666666666666.jpg,11020
071/067,SR,オリジンパルキアV(SA),071/067,15000,1/17,,12800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130503037313036372e6a7067003136300000660023666666666666.jpg,2200
077/067,SR,カイ,077/067,15000,1/17,,6480,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130503037373036372e6a7067003136300000660023666666666666.jpg,8520
083/067,CSR,スターミーV(SA),083/067,24000,1/17,,14800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5339613038333036372e6a7067003136300000660023666666666666.jpg,9200
084/067,CSR,ガブリアスV(SA),084/067,17000,1/17,,7780,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5339613038343036372e6a7067003136300000660023666666666666.jpg,9220
103/100,SR,リザードンV(SA),103/100,42000,1/17,,39800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73395f3232303131335f32342e6a7067003136300000660023666666666666.jpg,2200
118/100,HR,リザードンVSTAR,118/100,15000,1/17,,9480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73395f3232303131335f392e6a70670031363000534f4c44204f555400660023666666666666.jpg,5520
112/100,SR,アルセウスＶ(SA),112/100,10000,1/17,,,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36373838373136372e6a7067003136300000660023666666666666.jpg,
415/414,SR,ピカチュウV,415/414,18000,1/17,,7480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231313231365f3266643837642e6a70670031363000534f4c44204f555400660023666666666666.jpg,10520
419/414,SR,マリィのプライド,419/414,25000,1/17,,21800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231313231365f6265336463652e6a7067003136300000660023666666666666.jpg,3200
222/184,CSR,ピカチュウ,222/184,24000,1/17,,13800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383335372e6a70670031363000534f4c44204f555400660023666666666666.jpg,10200
223/184,CSR,ピカチュウVMAX,223/184,28000,1/17,,24800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383335382e6a7067003136300000660023666666666666.jpg,3200
231/184,CSR,ニンフィアV,231/184,10000,1/17,,5480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383336342e6a70670031363000534f4c44204f555400660023666666666666.jpg,4520
232/184,CSR,ニンフィアVMAX,232/184,10000,1/17,,6980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383336352e6a70670031363000534f4c44204f555400660023666666666666.jpg,3020
233/184,CSR,ミミッキュV,233/184,14000,1/17,,4980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383336362e6a70670031363000534f4c44204f555400660023666666666666.jpg,9020
234/184,CSR,ミミッキュVMAX,234/184,13500,1/17,,6980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383336372e6a70670031363000534f4c44204f555400660023666666666666.jpg,6520
244/184,CSR,ブラッキーV,244/184,12000,1/17,,5780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383337382e6a70670031363000534f4c44204f555400660023666666666666.jpg,6220
245/184,CSR,ブラッキーVMAX,245/184,16000,1/17,,8980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383337392e6a70670031363000534f4c44204f555400660023666666666666.jpg,7020
252/184,CSR,レックウザVMAX,252/184,26000,1/17,,14800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383338372e6a70670031363000534f4c44204f555400660023666666666666.jpg,11200
255/184,SR,アセロラの予感,255/184,13500,1/17,,7980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383339302e6a70670031363000534f4c44204f555400660023666666666666.jpg,5520
258/184,SR,ガラルの仲間たち,258/184,12000,1/17,,4980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383339332e6a70670031363000534f4c44204f555400660023666666666666.jpg,7020
276/184,SR,ユウリ,276/184,14000,1/17,,7980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383431332e6a7067003136300000660023666666666666.jpg,6020
277/184,SR,ルリナ,277/184,8000,1/17,,1780,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383431342e6a7067003136300000660023666666666666.jpg,6220
279/184,UR,ピカチュウVMAX,279/184,16000,1/17,,14800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36383234383334302e6a70670031363000534f4c44204f555400660023666666666666.jpg,1200
001/025,p,リザードン,001/025,80000,1/17,,54800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030312e6a70670031363000534f4c44204f555400660023666666666666.jpg,25200
002/025,p,フシギバナ,002/025,18000,1/17,,8480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030322e6a70670031363000534f4c44204f555400660023666666666666.jpg,9520
003/025,p,カメックス,003/025,24000,1/17,,13800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030332e6a7067003136300000660023666666666666.jpg,10200
005/025,p,わるいギャラドス,005/025,16000,1/17,,5780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030352e6a70670031363000534f4c44204f555400660023666666666666.jpg,10220
006/025,p,ロケット団参上！,006/025,6500,1/17,,2480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030362e6a70670031363000534f4c44204f555400660023666666666666.jpg,4020
007/025,p,_のピカチュウ,007/025,76000,1/17,,47800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030372e6a70670031363000534f4c44204f555400660023666666666666.jpg,28200
008/025,p,R団のサンダー,008/025,6000,1/17,,2480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030382e6a70670031363000534f4c44204f555400660023666666666666.jpg,3520
009/025,p,ピィ,009/025,5000,1/17,,1480,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615030392e6a7067003136300000660023666666666666.jpg,3520
010/025,p,ひかるコイキング,010/025,30000,1/17,,19800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031302e6a70670031363000534f4c44204f555400660023666666666666.jpg,10200
012/025,p,ブラッキー スター,012/025,44000,1/17,,,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031322e6a7067003136300000660023666666666666.jpg,
013/025,p,ロケット団の幹部,013/025,3000,1/17,,680,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031332e6a7067003136300000660023666666666666.jpg,2320
014/025,p,ミュウex,014/025,18000,1/17,,6980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031342e6a70670031363000534f4c44204f555400660023666666666666.jpg,11020
018/025,p,ガブリアスC　LV.X,018/025,6000,1/17,,1780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615031382e6a70670031363000534f4c44204f555400660023666666666666.jpg,4220
020/025,p,レシラム,020/025,18000,1/17,,10800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615032302e6a7067003136300000660023666666666666.jpg,7200
021/025,p,ゼクロム,021/025,18000,1/17,,10800,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615032312e6a7067003136300000660023666666666666.jpg,7200
022/025,p,ミュウツーEX,022/025,13000,1/17,,8280,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615032322e6a7067003136300000660023666666666666.jpg,4720
024/025,p,MレックウザEX,024/025,32000,1/17,,21800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f63725338615032342e6a7067003136300000660023666666666666.jpg,10200
030/028,UR,ミュウ,030/028,55000,1/17,,24800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231313032315f3037326239382e6a70670031363000534f4c44204f555400660023666666666666.jpg,30200
119/100,HR,ミュウVMAX(SA),119/100,120000,1/17,,99800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36373838373137342e6a70670031363000534f4c44204f555400660023666666666666.jpg,20200
106/100,SR,ミュウV(SA),106/100,30000,1/17,,25800,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36373838373136302e6a7067003136300000660023666666666666.jpg,4200
083/067,HR,ジュラルドンVMAX(SA),083/067,16000,1/17,,18800,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337443031362e6a7067003136300000660023666666666666.jpg,-2800
083/067,HR,レックウザVMAX(SA),083/067,550000,1/17,,578000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523031362e6a70670031363000534f4c44204f555400660023666666666666.jpg,-28000
074/067,SR,カイリューV(SA),074/067,80000,1/17,,74800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523030372e6a70670031363000534f4c44204f555400660023666666666666.jpg,5200
076/067,SR,レックウザV(SA),076/067,120000,1/17,,99800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523030392e6a7067003136300000660023666666666666.jpg,20200
077/067,SR,サナ,077/067,15000,1/17,,9980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523031302e6a7067003136300000660023666666666666.jpg,5020
079/067,SR,ヒガナの決意,079/067,8000,1/17,,6780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7337523031322e6a70670031363000534f4c44204f555400660023666666666666.jpg,1220
089/069,HR,リーフィアVMAX（SA),089/069,85000,1/17,,79800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3432313764322e6a7067003136300000660023666666666666.jpg,5200
091/069,HR,グレイシアVMAX（SA),091/069,100000,1/17,,99800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3663303135662e6a7067003136300000660023666666666666.jpg,200
093/069,HR,ニンフィアVMAX（SA),093/069,160000,1/17,,158000,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6463646365302e6a7067003136300000660023666666666666.jpg,2000
095/069,HR,ブラッキーVMAX（SA),095/069,500000,1/17,,478000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3862393334312e6a70670031363000534f4c44204f555400660023666666666666.jpg,22000
071/069,SR,リーフィアV（SA),071/069,22000,1/17,,18800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6231323664372e6a7067003136300000660023666666666666.jpg,3200
073/069,SR,ブースターＶ（SA),073/069,22000,1/17,,,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3637333837332e6a7067003136300000660023666666666666.jpg,
075/069,SR,シャワーズV（SA),075/069,22000,1/17,,21800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6539386539392e6a7067003136300000660023666666666666.jpg,200
077/069,SR,グレイシアV（SA),077/069,22000,1/17,,19800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6538323536632e6a7067003136300000660023666666666666.jpg,2200
079/069,SR,サンダースV（SA),079/069,22000,1/17,,18800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3739383333652e6a7067003136300000660023666666666666.jpg,3200
081/069,SR,エーフィV(SA),081/069,24000,1/17,,23800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f6165346265322e6a70670031363000534f4c44204f555400660023666666666666.jpg,200
083/069,SR,ニンフィアV(SA),083/069,26000,1/17,,27800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3337663337302e6a7067003136300000660023666666666666.jpg,-1800
085/069,SR,ブラッキーV（SA),085/069,65000,1/17,,62800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303532375f3631383834362e6a7067003136300000660023666666666666.jpg,2200
086/070,HR,こくばバドレックスVMAX（SA),086/070,95000,1/17,,89800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73364b3031362e6a70670031363000534f4c44204f555400660023666666666666.jpg,5200
074/070,SR,ゼラオラV(SA),074/070,14000,1/17,,12800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73364b3030342e6a70670031363000534f4c44204f555400660023666666666666.jpg,1200
076/070,SR,こくばバドレックスV（SA),076/070,5500,1/17,,3480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73364b3030362e6a70670031363000534f4c44204f555400660023666666666666.jpg,2020
085/070,HR,はくばバドレックスVMAX(SA),085/070,55000,1/17,,59800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7336483031352e6a70670031363000534f4c44204f555400660023666666666666.jpg,-4800
086/070,HR,バシャーモVMAX(SA),086/070,140000,1/17,,89800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613038363037302e6a70670031363000534f4c44204f555400660023666666666666.jpg,50200
074/070,SR,ガラルフリーザーV(SA),074/070,11000,1/17,,7280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613037343037302e6a70670031363000534f4c44204f555400660023666666666666.jpg,3720
076/070,SR,ガラルサンダーV(SA),076/070,11000,1/17,,6980,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613037363037302e6a7067003136300000660023666666666666.jpg,4020
078/070,SR,ガラルファイヤーV(SA),078/070,60000,1/17,,49800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613037383037302e6a70670031363000534f4c44204f555400660023666666666666.jpg,10200
080/070,SR,ガラルヤドキングV(SA),080/070,14000,1/17,,14800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613038303037302e6a70670031363000534f4c44204f555400660023666666666666.jpg,-800
082/070,SR,クララ,082/070,21000,1/17,,11800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757368705335613038323037302e6a70670031363000534f4c44204f555400660023666666666666.jpg,9200
084/070,HR,れんげきウーラオスVMAX(SA),084/070,95000,1/17,,79800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335522d53525f3231303132315f31332e6a70670031363000534f4c44204f555400660023666666666666.jpg,15200
074/070,SR,エンペルトV(SA),074/070,18000,1/17,,10800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335522d53525f3231303132315f332e6a70670031363000534f4c44204f555400660023666666666666.jpg,7200
079/070,SR,コルニの気合い,079/070,10000,1/17,,6480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303231303132325f6530326431372e6a70670031363000534f4c44204f555400660023666666666666.jpg,3520
081/070,SR,モミ,081/070,7000,1/17,,6780,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335522d53525f3231303132315f31302e6a7067003136300000660023666666666666.jpg,220
085/070,HR,いちげきウーラオスVMAX(SA),085/070,54000,1/17,,42800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335492d53525f3231303132315f31342e6a70670031363000534f4c44204f555400660023666666666666.jpg,11200
077/070,SR,バンギラスV(SA),077/070,55000,1/17,,52800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335492d53525f3231303132315f362e6a70670031363000534f4c44204f555400660023666666666666.jpg,2200
080/070,SR,フヨウ,080/070,7000,1/17,,2980,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7335492d53525f3231303132315f392e6a7067003136300000660023666666666666.jpg,4020
307/190,SSR,リザードンV,307/190,20000,1/17,,17800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f534853545653303330372e6a7067003136300000660023666666666666.jpg,2200
